From_Station,To_Station,Bikes_Moved
598,452,3196
680,9,150
680,721,648
680,257,2125
590,67,791
475,521,2702
475,558,3863
556,535,1491
513,370,806
576,16,289
527,458,125
704,531,3161
477,553,3101
477,475,3523
653,202,223
653,262,2106
653,469,4310
575,331,811
575,691,1976
473,421,450
473,503,3376
473,628,2865
510,286,494
510,247,1808
459,229,2858
459,530,2566
640,712,570
592,238,1960
592,228,2436
564,567,378
564,598,2779
660,38,293
681,481,197
463,509,1745
573,426,1088
573,541,3236
447,240,2012
447,155,291
545,227,1327
545,676,2149
545,631,3403
491,26,36
491,60,483
491,380,549
491,409,955
491,170,1043
491,713,750
491,615,307
491,682,1559
491,572,1201
541,486,2503
541,445,927
605,728,806
605,578,1966
570,594,2093
534,95,488
521,391,608
521,227,395
521,536,2696
599,512,2110
584,441,589
497,289,2164
523,249,426
523,129,2075
661,590,3783
661,662,3275
577,239,194
577,664,1962
471,96,896
471,399,940
471,432,1021
471,596,4275
595,374,417
580,529,1106
587,241,2479
587,572,4807
476,345,644
476,307,1173
476,492,315
476,489,1383
476,460,3775
625,538,3795
517,543,1380
593,462,3477
664,667,825
531,260,1821
531,619,1302
600,714,1934
636,124,647
636,383,527
569,82,370
637,2,111
530,685,1906
502,288,2362
502,593,523
633,62,605
633,100,651
633,268,1250
543,507,1021
540,510,2390
470,346,1181
656,44,349
662,715,1776
662,640,2281
526,439,2049
560,339,840
616,637,2593
657,533,2062
619,88,1372
586,107,1709
642,144,1395
642,524,3400
579,652,3851
628,66,367
594,614,2697
532,41,375
532,456,1500
649,629,4475
663,17,217
663,182,320
608,457,2374
629,371,919
635,699,1956
525,650,4074
601,386,122
601,554,3326
620,546,3764
620,494,1741
622,329,1009
622,434,943
442,32,169
442,723,556
442,265,1047
442,678,2069
442,712,1591
442,454,2404
666,230,346
666,213,2668
666,212,988
666,208,299
666,234,298
666,224,1559
666,232,1694
596,118,54
621,423,884
621,234,2460
621,550,230
623,295,1949
630,540,4627
572,356,617
572,353,1110
631,126,1993
638,294,1770
624,406,935
